Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year
Pumpkin,Canned,1.38,per pound,1,0.5401,pounds,0.74,2016
Radish,Fresh,1.46,per pound,0.9,0.2756,pounds,0.45,2016
Red peppers,Fresh,2.32,per pound,0.82,0.2646,pounds,0.75,2016
"Spinach, boiled",Fresh,3.83,per pound,0.77,0.3307,pounds,1.64,2016
"Spinach, eaten raw",Fresh,3.83,per pound,1,0.1543,pounds,0.59,2016
Spinach,Canned,1.13,per pound,0.65,0.3748,pounds,0.65,2016
Spinach,Frozen,1.76,per pound,0.776,0.3748,pounds,0.85,2016
Sweet potatoes,Fresh,1.05,per pound,0.811,0.441,pounds,0.57,2016
"Tomatoes, grape & cherry",Fresh,3.48,per pound,0.91,0.3748,pounds,1.43,2016
"Tomatoes, roma & plum",Fresh,1.29,per pound,0.91,0.3748,pounds,0.53,2016
"Tomatoes, large round",Fresh,2.01,per pound,0.91,0.3748,pounds,0.83,2016
Tomatoes,Canned,0.91,per pound,1,0.5401,pounds,0.49,2016
Turnip greens,Fresh,2.52,per pound,0.75,0.3197,pounds,1.07,2016
Turnip greens,Canned,0.78,per pound,0.65,0.3527,pounds,0.43,2016
Turnip greens,Frozen,1.58,per pound,0.776,0.3527,pounds,0.72,2016
